"","Fn1","Fn2","Fn3","Fn4","Fn5","BFT1","BFT2","BFT3","BFT4","BFT5","BFT6"
"TGFBR3",6.34171334,6.215467529,5.991583599,6.239009809,6.573475145,2.606034458,3.198896289,2.634773352,2.175061349,3.040194539,2.553970013
"CYBRD1",1.746722484,1.657962523,1.704714694,1.958273575,1.881263762,-2.789861499,-0.601673952,-0.278600028,-2.459556064,-0.471991637,-0.870282457
"FAM171B",1.338135775,1.330188634,1.226331338,1.387074425,1.470509696,-2.789861499,-0.661198561,-1.013850768,-2.621904098,-0.750302274,-1.45413682
"BCHE",4.582841652,4.14923505,5.07406124,4.805171558,4.390111206,-3.388678931,0.187057902,0.538838236,-3.014446571,0.757639816,0.969420517
"TLR6",1.263725442,1.235266988,1.403032757,1.068287313,1.49570382,-1.551796102,0.220423914,-0.252650781,-1.413900428,-0.444138665,0.098258509
"SLC6A19",6.12,5.877555642,5.608778672,5.88294056,5.779333954,-3.388678931,-0.0709868,0.348522505,-3.555444693,-0.6836508,0.098258509
"EGR1",3.854740574,4.219080391,4.642972989,4.200764782,4.291091092,7.935565038,4.882933862,5.382012319,6.833799463,4.593091018,4.811706076
"ANXA6",3.099635795,3.03915214,3.062644726,2.938072398,3.181181073,1.558029935,2.251251627,2.046502328,2.111884814,2.062933943,1.917896648
"CD109",4.315166958,3.897659824,3.460077649,4.063890151,4.058913956,-4.431060411,-2.102772739,-2.351228508,-2.181142017,-1.673964665,-1.646307242
"FAXC",2.433039549,2.39095233,2.041355182,2.289109935,2.406789594,0.108229868,0.54406355,0.005668394,-0.252089674,0.537840303,-0.170695732
"AKAP12",1.463392672,1.640734115,1.669678812,1.658009832,1.641478377,5.462974204,5.361744207,4.503611728,4.821557762,4.322188435,4.040461756
"GPNMB",3.855243704,3.492764674,3.672153478,3.527795408,3.589385669,1.29472465,1.586390408,1.838924193,0.853712414,1.069221028,1.284501176
"ENPP2",4.275102528,4.074236829,3.867796948,3.864757524,5.516672918,-2.04190697,-1.677061924,-1.302405569,-1.656318287,-1.095452357,0.672580354
"FREM1",8.383923852,8.074675165,7.795745953,8.509047873,7.862521566,-1.551796102,-1.805495888,-2.726495744,-0.969336503,-2.788483398,-2.450817505
"SERPING1",5.434758527,5.559727835,5.076353994,5.484488644,5.425580301,-1.357690374,-0.336118618,-0.474621943,-1.143395268,-0.389995804,-0.063878045
"HSPB8",6.620780501,6.60755324,6.172238465,6.536922508,6.440862478,2.791468466,1.789013627,-0.359371542,1.96946211,0.958806802,-0.455799346
"KATNAL1",2.188639171,1.756818509,1.860883217,1.653115058,1.83676098,0.293098306,0.117917619,0.027010963,0.619417457,-0.146122722,-0.134203986
"GNG2",2.749323304,2.634284643,2.700634216,2.756283033,2.900177525,-1.186630334,-1.002391236,-1.663481204,-1.413900428,-1.740159754,-1.284581103
"FERMT2",3.159284356,2.895829324,2.946755409,2.967720132,3.02975717,-1.551796102,-1.25407094,-1.596672564,-2.313643327,-1.280083235,-2.13021622
"FOS",1.664841058,1.666158932,1.844943181,1.502355792,1.80084988,7.118540739,3.361016169,3.601197104,6.465582605,3.408068926,3.545455107
"MT1JP",1.118389196,0.98617597,0.997364468,1.155936534,1.018806714,-2.789861499,-1.002391236,-1.250125063,-1.747107696,-1.959187119,-1.868067032
"EMP3",5.478800624,5.756544231,5.387054375,5.279081286,5.28822014,3.4269093,3.458620579,2.838627606,2.928264281,3.274056354,2.814171697
"SPIB",4.386745907,4.347605618,4.242548871,4.508833773,4.481757743,-1.776138359,-1.348767537,-1.103772179,-0.587412602,1.11674542,2.127776252
"MYL9",1.135166752,0.842086471,0.984590325,1.010958508,0.98466525,2.143443788,3.383283838,-1.058111001,1.96946211,2.402899382,-0.648206803
